event,avg_diva,num_performances
nba-allstar-game,4698.8512609028285,13
memorial-day-concert,4644.412389854997,1
super-bowl,4261.601198611586,26
ncaa-football-championship,4154.991787846952,3
inauguration,4095.0872480954963,4
nba-finals,3670.8004638086086,5
world-series,3573.9620127000753,47
wnba-allstar-game,3527.405814260583,3
mlb-allstar-game,3477.236857217966,7
nfl-regular-season,3366.526915461926,4
rnc,3314.1866029667926,1
indy-500,3166.7159490251206,5
mlb-regular-season-game,3059.3075876027683,3
dnc,2955.250461264201,2
stanley-cup-playoffs,2907.1585768107175,10
nba-regular-season-game,2686.316525200976,2
n/a,0.0,1
